2025-03-20 00:00:57.653629|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2025-03-20 00:00:57.670515|INFO    |ServerLibPriv |   |SystemInformation: Linux 6.12.5-linuxkit #1 SMP PREEMPT_DYNAMIC Tue Jan 21 10:25:35 UTC 2025 x86_64 Binary: 64bit
2025-03-20 00:00:57.671973|INFO    |ServerLibPriv |   |Using hardware aes
2025-03-20 00:00:57.678866|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2025-03-20 00:00:57.680383|INFO    |DatabaseQuery |   |dbPlugin version: 2
2025-03-20 00:01:07.222332|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2025-03-20 00:01:07.245845|INFO    |Accounting    |   |Licensing Information
2025-03-20 00:01:07.247353|INFO    |Accounting    |   |licensed to       : Anonymous
2025-03-20 00:01:07.249360|INFO    |Accounting    |   |type              : No License
2025-03-20 00:01:07.251284|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2025-03-20 00:01:07.252703|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2025-03-20 00:01:07.254563|INFO    |Accounting    |   |max virtualservers: 1
2025-03-20 00:01:07.255726|INFO    |Accounting    |   |max slots         : 32
2025-03-20 00:01:08.166001|INFO    |              |   |Puzzle precompute time: 802
2025-03-20 00:01:08.184203|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2025-03-20 00:01:08.207617|INFO    |Query         |   |Using a query thread pool size of 2
2025-03-20 00:01:08.308505|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2025-03-20 00:01:08.331667|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2025-03-20 00:01:08.336115|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2025-03-20 00:12:11.308627|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
